year,artist,total_ms_played,total_yearly_ms_played_all_songs,total_hours_played,total_yearly_hours_played_all_songs,percentage_of_total_ms_played
2014,Ron Basejam,345730,345730,0.009603611,0.009603611,100
2015,Lars Behrenroth,459475,663391,0.012763194,0.018427528,69.26156671
2017,Brian Eno,579718682,4138228419,16.10329672,114.9507894,14.00886136
2018,Brian Eno,506806758,4229896391,14.0779655,117.497122,11.98154071
2019,Darius,251337405,7076043904,6.981594583,196.5567751,3.551948072
2020,Dexta Daps,75273949,3750825773,2.090943028,104.1896048,2.006863383
2021,StreamBeats by Harris Heller,639458707,8781943699,17.76274186,243.9428805,7.281516814
2022,StreamBeats by Harris Heller,309252413,7931670459,8.590344806,220.3241794,3.898956904
2023,StreamBeats by Harris Heller,258420940,7917803004,7.178359444,219.9389723,3.263796029
2024,Green Piccolo,247078638,7219201694,6.8632955,200.5333804,3.422520224
2025,Green Piccolo,12894334,365270197,0.358175944,10.14639436,3.530081048
